year,ecoregion,ba_forest_km2,ba_forest_counter_km2,ba_nonforest_km2,ba_nonforest_counter_km2,fwi90,fwi_90_counter,ppt_mm,ppt_counter_mm
2002,1.1,0,0,0,0,0.7407633,0.6122863,339.3158,362.2916
2003,1.1,0,0,74.60043,77.49937,1.343778,1.151979,316.8591,340.9324
2004,1.1,0,0,28.72544,32.69473,0.6811664,0.5755431,385.8049,412.1926
2005,1.1,0,0,70.31304,74.78903,0.8971829,0.7422069,347.4858,370.6802
2006,1.1,0,0,3.858642,4.269548,0.8552918,0.6775671,440.8369,471.1196
2007,1.1,0,0,29.36855,33.70332,0.7004463,0.5815139,433.5228,462.2585
2008,1.1,0,0,25.93865,25.72359,1.548886,1.296646,354.4534,379.0336
2009,1.1,0,0,50.80547,47.94875,1.387486,1.063804,328.7555,354.5836
2010,1.1,0,0,0.214369,0.1992708,1.107927,0.818795,276.8026,297.2899
2011,1.1,0,0,16.29204,18.30848,0.8080219,0.6644841,397.6977,426.3884
2012,1.1,0,0,43.08817,47.007,0.8639942,0.6831828,334.6149,363.4979
2013,1.1,0,0,42.65944,45.12663,1.002382,0.8102674,356.396,382.6931
2014,1.1,0,0,21.22253,20.31763,1.194464,0.881972,357.1304,383.5546
2015,1.1,0,0,132.0513,142.7103,0.7108427,0.5002529,378.3564,409.1193
2016,1.1,0,0,20.79379,17.48711,1.516463,0.9960324,347.5108,379.3342
2017,1.1,0,0,27.86797,27.58698,0.8957624,0.6668163,340.3489,362.3471
2018,1.1,0,0,19.50758,20.85182,1.04701,0.8243247,368.466,399.1255
2019,1.1,0,0,3.001166,2.585631,1.379821,0.8932407,350.1908,381.5056
2020,1.1,0,0,13.50525,12.36588,1.415212,1.099843,280.8733,302.1933
2021,1.1,0,0,14.79146,13.9944,1.243157,0.936514,316.0729,340.4727
2022,1.1,0,0,58.52274,63.64975,1.15343,0.888489,423.2129,460.2589
2023,1.1,0,0,48.87613,45.70745,1.526786,1.166514,324.6141,353.0454
2002,2.1,0,0,0,0,3.352397,2.489785,267.1311,287.0708
2003,2.1,0,0,0.214369,0.214369,3.128292,2.535827,207.5271,224.1259
2004,2.1,0,0,0,0,2.225134,1.576949,263.0431,284.8846
2005,2.1,0,0,0,0,1.760624,1.18187,218.5689,236.5533
2006,2.1,0,0,0,0,3.140546,2.395285,303.505,328.8234
2007,2.1,0,0,0,0,2.699298,2.262727,269.5136,292.3609
2008,2.1,0,0,0,0,3.556571,2.785654,273.903,298.7464
2009,2.1,0,0,0,0,3.860932,2.951426,283.2341,307.7642
2010,2.1,0,0,0,0,4.922147,3.689487,195.8408,213.5058
2011,2.1,0,0,0,0,4.988796,4.111383,241.1885,261.6961
2012,2.1,0,0,0.428738,0.428738,2.381762,1.766482,222.4482,242.8551
2013,2.1,0,0,0.214369,0.214369,4.21031,3.124085,267.8182,294.206
2014,2.1,0,0,0,0,3.312312,2.288242,237.5514,259.7911
2015,2.1,0,0,0,0,2.701859,1.798509,249.6902,274.304
